date ,type ,medium,source,notes ,category,rating,link
24/1/19,article,twitter,denis nazarov,great succint writing example and terminologies on state,crypto,11,https://denisnazarov.com/what-comes-after-open-source/
7/6/17,article,self,google,interesting insights into pcb manufacturing,research - crypto hardware,8,https://www.bunniestudios.com/blog/?p=2407
